Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createContact,Chrome 109.0.0.0,,,2023-06-09 14:10:21,2023-06-09 14:11:41,1m - 19.898s,PASSED
,,,,,,,
Test Cases/createContact,Chrome 109.0.0.0,,,2023-06-09 14:10:22,2023-06-09 14:10:52,29.094s,PASSED
Start listener action : maximize,Chrome 109.0.0.0,,,2023-06-09 14:10:22,2023-06-09 14:10:23,0.136s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-09 14:10:23,2023-06-09 14:10:29,6.159s,PASSED
"verifyMatch(getUrl(), URL, false)",Chrome 109.0.0.0,,,2023-06-09 14:10:29,2023-06-09 14:10:29,0.063s,PASSED
"assert getWindowTitle() == ""Cogmento CRM""",Chrome 109.0.0.0,,,2023-06-09 14:10:29,2023-06-09 14:10:29,0.027s,PASSED
"doNotTextObject = ""Object Repository/cogmento/test/Page_Cogmento CRM/label_Do not Text""",Chrome 109.0.0.0,,,2023-06-09 14:10:29,2023-06-09 14:10:29,0.002s,PASSED
"doNotMailObject = ""Object Repository/cogmento/test/Page_Cogmento CRM/label_Do not Email""",Chrome 109.0.0.0,,,2023-06-09 14:10:29,2023-06-09 14:10:29,0.000s,PASSED
"doNotCallObject = ""Object Repository/cogmento/test/Page_Cogmento CRM/Page_Cogmento CRM/label_Do not Call""",Chrome 109.0.0.0,,,2023-06-09 14:10:29,2023-06-09 14:10:29,0.000s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/i_Calendar_users icon""))",Chrome 109.0.0.0,,,2023-06-09 14:10:29,2023-06-09 14:10:33,4.048s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/button_Create""))",Chrome 109.0.0.0,,,2023-06-09 14:10:33,2023-06-09 14:10:34,1.445s,PASSED
"setText(findTestObject(""Object Repository/cogmento/createContact/input_First Name_first_name""), FirstName)",Chrome 109.0.0.0,,,2023-06-09 14:10:34,2023-06-09 14:10:36,1.657s,PASSED
"setText(findTestObject(""Object Repository/cogmento/createContact/input_Last Name_last_name""), LastName)",Chrome 109.0.0.0,,,2023-06-09 14:10:36,2023-06-09 14:10:37,1.050s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Middle Name(s)_middle_name""), MiddleName)",Chrome 109.0.0.0,,,2023-06-09 14:10:37,2023-06-09 14:10:38,1.014s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Email_value""), Email)",Chrome 109.0.0.0,,,2023-06-09 14:10:38,2023-06-09 14:10:40,1.454s,PASSED
"com.LoginCogmento.DoNotText(doNotCallObject, Call, ""Do not Call"")",Chrome 109.0.0.0,,,2023-06-09 14:10:40,2023-06-09 14:10:40,0.510s,PASSED
"com.LoginCogmento.DoNotText(doNotTextObject, Text, ""Do not Text"")",Chrome 109.0.0.0,,,2023-06-09 14:10:40,2023-06-09 14:10:41,0.480s,PASSED
"com.LoginCogmento.DoNotText(doNotMailObject, DoEmail, ""Do not Mail"")",Chrome 109.0.0.0,,,2023-06-09 14:10:41,2023-06-09 14:10:41,0.002s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Birthday_day""), BirthDay)",Chrome 109.0.0.0,,,2023-06-09 14:10:41,2023-06-09 14:10:42,0.976s,PASSED
"click(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/div_October JanuaryFebruaryMarchAprilMayJun_aa3d2b""))",Chrome 109.0.0.0,,,2023-06-09 14:10:42,2023-06-09 14:10:42,0.576s,PASSED
"click(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/span_December"", [""EmpMonth"":BirthMonth]))",Chrome 109.0.0.0,,,2023-06-09 14:10:42,2023-06-09 14:10:43,0.681s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_December_year""), BirthYear)",Chrome 109.0.0.0,,,2023-06-09 14:10:43,2023-06-09 14:10:44,1.089s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/button_Save""))",Chrome 109.0.0.0,,,2023-06-09 14:10:44,2023-06-09 14:10:44,0.532s,PASSED
try,Chrome 109.0.0.0,,,2023-06-09 14:10:44,2023-06-09 14:10:47,2.608s,PASSED
Start tear down : logout,Chrome 109.0.0.0,,,2023-06-09 14:10:47,2023-06-09 14:10:52,4.534s,PASSED
Start listener action : assertmessage,Chrome 109.0.0.0,,,2023-06-09 14:10:52,2023-06-09 14:10:52,0.001s,PASSED
,,,,,,,
Test Cases/createContact,Chrome 109.0.0.0,,,2023-06-09 14:10:52,2023-06-09 14:11:15,23.659s,PASSED
Start listener action : maximize,Chrome 109.0.0.0,,,2023-06-09 14:10:52,2023-06-09 14:10:52,0.020s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-09 14:10:52,2023-06-09 14:10:55,3.738s,PASSED
"verifyMatch(getUrl(), URL, false)",Chrome 109.0.0.0,,,2023-06-09 14:10:55,2023-06-09 14:10:55,0.042s,PASSED
"assert getWindowTitle() == ""Cogmento CRM""",Chrome 109.0.0.0,,,2023-06-09 14:10:55,2023-06-09 14:10:56,0.017s,PASSED
"doNotTextObject = ""Object Repository/cogmento/test/Page_Cogmento CRM/label_Do not Text""",Chrome 109.0.0.0,,,2023-06-09 14:10:56,2023-06-09 14:10:56,0.000s,PASSED
"doNotMailObject = ""Object Repository/cogmento/test/Page_Cogmento CRM/label_Do not Email""",Chrome 109.0.0.0,,,2023-06-09 14:10:56,2023-06-09 14:10:56,0.001s,PASSED
"doNotCallObject = ""Object Repository/cogmento/test/Page_Cogmento CRM/Page_Cogmento CRM/label_Do not Call""",Chrome 109.0.0.0,,,2023-06-09 14:10:56,2023-06-09 14:10:56,0.000s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/i_Calendar_users icon""))",Chrome 109.0.0.0,,,2023-06-09 14:10:56,2023-06-09 14:10:58,2.496s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/button_Create""))",Chrome 109.0.0.0,,,2023-06-09 14:10:58,2023-06-09 14:10:59,1.245s,PASSED
"setText(findTestObject(""Object Repository/cogmento/createContact/input_First Name_first_name""), FirstName)",Chrome 109.0.0.0,,,2023-06-09 14:10:59,2023-06-09 14:11:01,1.391s,PASSED
"setText(findTestObject(""Object Repository/cogmento/createContact/input_Last Name_last_name""), LastName)",Chrome 109.0.0.0,,,2023-06-09 14:11:01,2023-06-09 14:11:02,1.025s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Middle Name(s)_middle_name""), MiddleName)",Chrome 109.0.0.0,,,2023-06-09 14:11:02,2023-06-09 14:11:03,1.097s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Email_value""), Email)",Chrome 109.0.0.0,,,2023-06-09 14:11:03,2023-06-09 14:11:04,1.131s,PASSED
"com.LoginCogmento.DoNotText(doNotCallObject, Call, ""Do not Call"")",Chrome 109.0.0.0,,,2023-06-09 14:11:04,2023-06-09 14:11:04,0.001s,PASSED
"com.LoginCogmento.DoNotText(doNotTextObject, Text, ""Do not Text"")",Chrome 109.0.0.0,,,2023-06-09 14:11:04,2023-06-09 14:11:04,0.495s,PASSED
"com.LoginCogmento.DoNotText(doNotMailObject, DoEmail, ""Do not Mail"")",Chrome 109.0.0.0,,,2023-06-09 14:11:04,2023-06-09 14:11:06,1.780s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Birthday_day""), BirthDay)",Chrome 109.0.0.0,,,2023-06-09 14:11:06,2023-06-09 14:11:07,0.801s,PASSED
