Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createContact,Chrome 109.0.0.0,,,2023-06-09 11:11:00,2023-06-09 11:12:20,1m - 19.947s,PASSED
,,,,,,,
Test Cases/createContact,Chrome 109.0.0.0,,,2023-06-09 11:11:01,2023-06-09 11:11:30,29.070s,PASSED
Start listener action : maximize,Chrome 109.0.0.0,,,2023-06-09 11:11:01,2023-06-09 11:11:01,0.131s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-09 11:11:01,2023-06-09 11:11:08,6.391s,PASSED
"verifyMatch(getUrl(), URL, false)",Chrome 109.0.0.0,,,2023-06-09 11:11:08,2023-06-09 11:11:08,0.068s,PASSED
"assert getWindowTitle() == ""Cogmento CRM""",Chrome 109.0.0.0,,,2023-06-09 11:11:08,2023-06-09 11:11:08,0.037s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/i_Calendar_users icon""))",Chrome 109.0.0.0,,,2023-06-09 11:11:08,2023-06-09 11:11:12,4.001s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/button_Create""))",Chrome 109.0.0.0,,,2023-06-09 11:11:12,2023-06-09 11:11:13,1.371s,PASSED
"setText(findTestObject(""Object Repository/cogmento/createContact/input_First Name_first_name""), FirstName)",Chrome 109.0.0.0,,,2023-06-09 11:11:13,2023-06-09 11:11:15,1.643s,PASSED
"setText(findTestObject(""Object Repository/cogmento/createContact/input_Last Name_last_name""), LastName)",Chrome 109.0.0.0,,,2023-06-09 11:11:15,2023-06-09 11:11:16,1.160s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Middle Name(s)_middle_name""), MiddleName)",Chrome 109.0.0.0,,,2023-06-09 11:11:16,2023-06-09 11:11:17,1.205s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Email_value""), Email)",Chrome 109.0.0.0,,,2023-06-09 11:11:17,2023-06-09 11:11:18,1.341s,PASSED
"click(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/label_Do not Call""))",Chrome 109.0.0.0,,,2023-06-09 11:11:18,2023-06-09 11:11:19,0.522s,PASSED
"click(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/label_Do not Text""))",Chrome 109.0.0.0,,,2023-06-09 11:11:19,2023-06-09 11:11:19,0.560s,PASSED
