Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create And Update Contact,Firefox 113.0,,,2023-06-09 15:33:12,2023-06-09 15:33:55,43.085s,ERROR
,,,,,,,
Test Cases/updateContact,Firefox 113.0,,,2023-06-09 15:33:45,2023-06-09 15:33:55,9.811s,ERROR
Start listener action : maximize,Firefox 113.0,,,2023-06-09 15:33:45,2023-06-09 15:33:45,0.008s,PASSED
Start setup action : login,Firefox 113.0,,,2023-06-09 15:33:45,2023-06-09 15:33:45,0.076s,ERROR
Start tear down : logout,Firefox 113.0,,,2023-06-09 15:33:45,2023-06-09 15:33:55,9.718s,PASSED
Start listener action : assertmessage,Firefox 113.0,,,2023-06-09 15:33:55,2023-06-09 15:33:55,0.001s,PASSED
