Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createContact,Chrome 109.0.0.0,,,2023-06-09 13:26:36,2023-06-09 13:28:03,1m - 26.661s,PASSED
,,,,,,,
Test Cases/createContact,Chrome 109.0.0.0,,,2023-06-09 13:26:38,2023-06-09 13:27:09,31.096s,PASSED
Start listener action : maximize,Chrome 109.0.0.0,,,2023-06-09 13:26:38,2023-06-09 13:26:38,0.140s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-09 13:26:38,2023-06-09 13:26:44,6.215s,PASSED
"verifyMatch(getUrl(), URL, false)",Chrome 109.0.0.0,,,2023-06-09 13:26:44,2023-06-09 13:26:44,0.061s,PASSED
"assert getWindowTitle() == ""Cogmento CRM""",Chrome 109.0.0.0,,,2023-06-09 13:26:44,2023-06-09 13:26:44,0.024s,PASSED
"doNotTextObject = ""Object Repository/cogmento/test/Page_Cogmento CRM/label_Do not Text""",Chrome 109.0.0.0,,,2023-06-09 13:26:44,2023-06-09 13:26:44,0.001s,PASSED
"doNotMailObject = ""Object Repository/cogmento/test/Page_Cogmento CRM/label_Do not Email""",Chrome 109.0.0.0,,,2023-06-09 13:26:44,2023-06-09 13:26:44,0.000s,PASSED
"doNotCallObject = ""Object Repository/cogmento/test/Page_Cogmento CRM/Page_Cogmento CRM/label_Do not Call""",Chrome 109.0.0.0,,,2023-06-09 13:26:44,2023-06-09 13:26:44,0.001s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/i_Calendar_users icon""))",Chrome 109.0.0.0,,,2023-06-09 13:26:44,2023-06-09 13:26:48,4.229s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/button_Create""))",Chrome 109.0.0.0,,,2023-06-09 13:26:48,2023-06-09 13:26:50,1.411s,PASSED
"setText(findTestObject(""Object Repository/cogmento/createContact/input_First Name_first_name""), FirstName)",Chrome 109.0.0.0,,,2023-06-09 13:26:50,2023-06-09 13:26:52,1.775s,PASSED
"setText(findTestObject(""Object Repository/cogmento/createContact/input_Last Name_last_name""), LastName)",Chrome 109.0.0.0,,,2023-06-09 13:26:52,2023-06-09 13:26:53,1.091s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Middle Name(s)_middle_name""), MiddleName)",Chrome 109.0.0.0,,,2023-06-09 13:26:53,2023-06-09 13:26:54,1.268s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Email_value""), Email)",Chrome 109.0.0.0,,,2023-06-09 13:26:54,2023-06-09 13:26:55,1.288s,PASSED
"com.LoginCogmento.DoNotText(doNotCallObject, Call, ""Do not Call"")",Chrome 109.0.0.0,,,2023-06-09 13:26:55,2023-06-09 13:26:56,0.516s,PASSED
"com.LoginCogmento.DoNotText(doNotTextObject, Text, ""Do not Text"")",Chrome 109.0.0.0,,,2023-06-09 13:26:56,2023-06-09 13:26:56,0.489s,PASSED
"com.LoginCogmento.DoNotText(doNotMailObject, DoEmail, ""Do not Mail"")",Chrome 109.0.0.0,,,2023-06-09 13:26:56,2023-06-09 13:26:58,1.556s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_Birthday_day""), BirthDay)",Chrome 109.0.0.0,,,2023-06-09 13:26:58,2023-06-09 13:26:59,0.904s,PASSED
"click(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/div_October JanuaryFebruaryMarchAprilMayJun_aa3d2b""))",Chrome 109.0.0.0,,,2023-06-09 13:26:59,2023-06-09 13:26:59,0.468s,PASSED
"click(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/span_December"", [""EmpMonth"":BirthMonth]))",Chrome 109.0.0.0,,,2023-06-09 13:26:59,2023-06-09 13:27:00,0.645s,PASSED
"setText(findTestObject(""Object Repository/cogmento/test/Page_Cogmento CRM/input_December_year""), BirthYear)",Chrome 109.0.0.0,,,2023-06-09 13:27:00,2023-06-09 13:27:01,0.979s,PASSED
"click(findTestObject(""Object Repository/cogmento/createContact/button_Save""))",Chrome 109.0.0.0,,,2023-06-09 13:27:01,2023-06-09 13:27:01,0.505s,PASSED
try,Chrome 109.0.0.0,,,2023-06-09 13:27:01,2023-06-09 13:27:04,2.501s,PASSED
Start tear down : logout,Chrome 109.0.0.0,,,2023-06-09 13:27:04,2023-06-09 13:27:09,4.971s,PASSED
Start listener action : assertmessage,Chrome 109.0.0.0,,,2023-06-09 13:27:09,2023-06-09 13:27:09,0.011s,PASSED
,,,,,,,
Test Cases/createContact,Chrome 109.0.0.0,,,2023-06-09 13:27:09,2023-06-09 13:27:37,28.255s,PASSED
Start listener action : maximize,Chrome 109.0.0.0,,,2023-06-09 13:27:09,2023-06-09 13:27:09,0.015s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-09 13:27:09,2023-06-09 13:27:13,3.732s,PASSED
"verifyMatch(getUrl(), URL, false)",Chrome 109.0.0.0,,,2023-06-09 13:27:13,2023-06-09 13:27:13,0.018s,PASSED
